"CountryName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","ARR 1990-2015 median","ARR 1990-2000 median","ARR 2000-2015 median","Required ARR median","Change in ARR median","Percentage decline 1990-2015 median","Percentage decline 1990-2000 median","Percentage decline 2000-2015 median"
"Maldives",70,"MDV",462,"MAL","Southern Asia","Southern Asia excluding India","Developing regions","","","","South Asia","South Asia","Asia","Developing countries","","","South-East Asia","Upper middle income","South Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Southern Asia","",1,9.57038337332749,7.51118577153155,10.9431817745248,,3.43199600299323,90.8607863974495,52.8161530286929,80.6306306306306
"Mali",34,"MLI",466,"MLI","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Fragile","Fragile","USAID","Africa","Western Africa","",1,3.18635122932257,1.47100121830592,4.32991790333367,,2.85891668502775,54.9135220125786,13.6792452830189,47.7686703096539
"Malta",183,"MLT",470,"MLT","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,2.27401894141068,3.70678992022749,1.31883828886613,,-2.38795163136136,43.3628318584071,30.9734513274336,17.9487179487179
"Mauritania",35,"MRT",478,"MTA","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","North Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Arab","OIC Low income","","Countdown","North Africa","Africa","Northern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Western Africa","",1,1.32966448618123,0.397288862818592,1.95124823508966,,1.55395937227107,28.2811176968671,3.89500423370025,25.374449339207
"Mauritius",17,"MUS",480,"MTS","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Upper middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","","Southern Africa","Africa","Eastern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Eastern Africa","",1,2.14857172833346,2.16671036808592,2.13647930183181,,-0.0302310662541094,41.5584415584416,19.4805194805195,27.4193548387097
"Mexico",125,"MEX",484,"MEX","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,5.0455348461571,5.99008189646083,4.41583681262128,,-1.57424508383956,71.6738197424893,45.0643776824034,48.4375
"Monaco",184,"MCO",492,"MON","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,3.20544306080071,4.05465108108164,2.63930438061342,,-1.41534670046822,55.1282051282051,33.3333333333333,32.6923076923077
"Mongolia",98,"MNG",496,"MGL","Eastern Asia","Eastern Asia excluding China","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Upper middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Eastern Asia","",1,6.28486679845561,5.41916210836022,6.86200325851921,,1.44284115015899,79.2207792207792,41.8367346938775,64.274322169059
"Moldova",152,"MDA",498,"MOL","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Lower middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Eastern Europe","",1,2.95809336940038,0.559151848369097,4.55738771675458,,3.99823586838548,52.2658610271903,5.4380664652568,49.5207667731629
"Montenegro",156,"MNE",499,"YUGA","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Southern Europe","",1,5.04736074658594,1.84734103199339,7.18070722298097,,5.33336619098759,71.6867469879518,16.8674698795181,65.9420289855072
"Morocco",59,"MAR",504,"MOR","Northern Africa","Northern Africa","Developing regions","North Africa","","","Middle East and North Africa","Middle East and North Africa","Africa","Developing countries","","North Africa","Eastern Mediterranean","Lower middle income","Middle East and North Africa","Middle income","Low and middle income","Africa","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Lower middle income","OIC Middle income","Countdown","North Africa","Africa","Northern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Northern Africa","",1,4.26184032540484,4.71252848646167,3.96138155136694,,-0.75114693509473,65.5430711610487,37.5780274656679,44.8
"Mozambique",9,"MOZ",508,"MOZ","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","Southern Africa","Africa","Southern Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Eastern Africa","",1,4.4651580666079,3.37139960542191,5.19433037406523,,1.82293076864333,67.2507300792658,28.619107217355,54.1203974284044
"Oman",60,"OMN",512,"OMN","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,4.89104287276628,8.6436312094139,2.38931731500119,,-6.25431389441271,70.5583756345178,57.8680203045685,30.1204819277109
"Namibia",18,"NAM",516,"NMB","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Upper middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","","Southern Africa","Africa","Southern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Southern Africa","",1,1.92709320468596,-0.294927542246121,3.40844036930734,,3.70336791155346,38.2312925170068,-2.99319727891157,40.0264200792602
"Nauru",79,"NRU",520,"NAU","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","","","","","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Micronesia","",1,1.89833408397023,3.22857084776804,1.01150957477168,,-2.21706127299636,37.7855887521968,27.5922671353251,14.0776699029126
"Nepal",71,"NPL",524,"NEP","Southern Asia","Southern Asia excluding India","Developing regions","","Least developed countries","","South Asia","South Asia","Asia","Developing countries","Least developed countries","","South-East Asia","Low income","South Asia","Low income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","","","","Fragile","Fragile","Non-fragile","USAID","Asia","Southern Asia","",1,5.47472828285476,5.57131314607761,5.41033837403952,,-0.160974772038086,74.5557924662402,42.7149964463397,55.5831265508685
"Netherlands",185,"NLD",528,"NET","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,3.12501779228085,2.91706222751506,3.26365483545804,,0.346592607942975,54.2168674698795,25.3012048192771,38.7096774193548
"Vanuatu",90,"VUT",548,"VAN","Oceania","Oceania","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Melanesia","",1,1.03263853274184,2.2244155058338,0.238120550680528,,-1.98629495515327,22.752808988764,19.9438202247191,3.50877192982456
"New Zealand",187,"NZL",554,"NZD","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Western Pacific","High income: OECD","","High income","","Oceania","","More developed regions","More developed regions","","","","","","","","","","","","","","Oceania","Australia and New Zealand","",1,2.70179041384218,4.14433778090925,1.7400921691308,,-2.40424561177845,49.1071428571429,33.9285714285714,22.972972972973
"Nicaragua",126,"NIC",558,"NIC","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Lower middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,4.4304854344419,5.06847498181546,4.0051590695262,,-1.06331591228926,66.965620328849,39.7608370702541,45.1612903225806
"Niger",36,"NER",562,"NIG","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Western Africa","",1,4.93798772467722,3.67352447797493,5.78096322247875,,2.10743874450382,70.9018890920171,30.7434491163924,57.9850417949846
"Nigeria",46,"NGA",566,"NGR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","OIC","Africa","OIC Lower middle income","OIC Middle income","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Western Africa","",1,2.67772261577052,1.28903462569729,3.60351460915267,,2.31447998345537,48.8,12.0941176470588,41.7558886509636
"Niue",80,"NIU",570,"NIU","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","","","","","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Polynesia","",1,-2.04330249506396,-5.19483686509105,0.0577204182874303,,5.25255728337848,-66.6666666666667,-68.1159420289855,0.862068965517238
"Norway",186,"NOR",578,"NOR","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Northern Europe","",1,4.83124632253241,5.74087820543957,4.22482506726096,,-1.51605313817861,70.1149425287356,43.6781609195402,46.9387755102041
"Federated States of Micronesia",77,"FSM",583,"FSM","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Fragile","Fragile","Fragile","","Oceania","Micronesia","",1,1.88577405721489,0.310527233415853,2.93593860641425,,2.6254113729984,37.5899280575539,3.05755395683454,35.621521335807
"Marshall Islands",78,"MHL",584,"MSI","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Upper middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Fragile","Fragile","Fragile","","Oceania","Micronesia","",1,1.33794455459833,1.94724196274425,0.931746282501058,,-1.01549568024319,28.4294234592445,17.6938369781312,13.0434782608696
"Palau",81,"PLW",585,"PAL","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Upper middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Micronesia","",1,3.15604612203473,2.97890977822024,3.27413701791106,,0.295227239690814,54.5706371191136,25.7617728531856,38.8059701492537
"Pakistan",73,"PAK",586,"PAK","Southern Asia","Southern Asia excluding India","Developing regions","","","","South Asia","South Asia","Asia","Developing countries","","","Eastern Mediterranean","Lower middle income","South Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Lower middle income","OIC Middle income","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","USAID","Asia","Southern Asia","",1,2.14363650253774,2.10418225011405,2.16993933748687,,0.0657570873728153,41.4862914862915,18.975468975469,27.7827248441674
"Panama",127,"PAN",591,"PAN","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,2.39017135938993,1.72659645882218,2.83255462643511,,1.10595816761293,44.9838187702265,15.8576051779935,34.6153846153846
"Papua New Guinea",82,"PNG",598,"PAP","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Melanesia","",1,1.7792802338351,1.30022057391106,2.09865334045113,,0.798432766540068,35.9060402684564,12.1923937360179,27.0063694267516
"Paraguay",128,"PRY",600,"PAR","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,3.27610970579579,3.2790687376229,3.27413701791106,,-0.00493171971184303,55.9139784946236,27.9569892473118,38.8059701492537
"Peru",129,"PER",604,"PER","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,6.20382385546857,7.25017309325384,5.50625769694505,,-1.74391539630879,78.7954830614806,51.5683814303639,56.2176165803109
"Philippines",100,"PHL",608,"PHI","South-eastern Asia","South-eastern Asia","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,2.92672337824875,3.82534167044247,2.32764451678627,,-1.4976971536562,51.8900343642612,31.786941580756,29.4710327455919
"Poland",165,"POL",616,"POL","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Eastern Europe","",1,4.80819150366541,6.20692101344523,3.87570516381219,,-2.33121584963304,69.9421965317919,46.242774566474,44.0860215053763
"Portugal",188,"PRT",620,"POR","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,5.6276545932905,7.13766467762681,4.62098120373297,,-2.51668347389384,75.5102040816327,51.0204081632653,50
"Guinea-Bissau",32,"GNB",624,"BIS","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Fragile","Fragile","Fragile","","Africa","Western Africa","",1,3.63129018138192,2.56060580948388,4.34507976264727,,1.78447395316339,59.6598342782381,22.5904928041867,47.887323943662
"Timor Leste",95,"TLS",626,"ETM","South-eastern Asia","South-eastern Asia","Developing regions","","Least developed countries","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","Least developed countries","","South-East Asia","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","","","","","","","","","Fragile","Fragile","Fragile","","Asia","South-Eastern Asia","",1,4.82424750179755,4.66481098474237,4.93053851316767,,0.265727528425292,70.0626067159932,37.279453614115,52.2686025408348
"Qatar",62,"QAT",634,"QTR","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,3.82204578010975,5.17256514096281,2.92169953954104,,-2.25086560142178,61.5384615384615,40.3846153846154,35.4838709677419
"Romania",153,"ROU",642,"ROM","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Eastern Europe","",1,4.89085994454271,3.37533807846172,5.90120785526337,,2.52586977680165,70.5570291777188,28.6472148541114,58.7360594795539
"Russian Federation",154,"RUS",643,"RUS","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Eastern Europe","",1,3.98533375819077,1.13944259349218,5.88259453465649,,4.74315194116431,63.0769230769231,10.7692307692308,58.6206896551724
"Rwanda",10,"RWA",646,"RWA","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Eastern Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Eastern Africa","",1,5.1682509446271,-1.91284344960057,9.88898054077887,,11.8018239903794,72.5296442687747,-21.0803689064559,77.3122959738847
"Saint Kitts & Nevis",130,"KNA",659,"STK","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,3.98005555201473,4.23227564448005,3.81190882370452,,-0.420366820775527,63.0281690140845,34.5070422535211,43.5483870967742
"Saint Lucia",131,"LCA",662,"STL","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,1.83076147604951,2.38751448980201,1.45959280021452,,-0.927921689587488,36.7256637168142,21.2389380530973,19.6629213483146
"St Vincent & the Grenadines",132,"VCT",670,"STV","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,1.16708823081322,0.985808286724476,1.28794152687239,,0.302133240147914,25.3061224489796,9.38775510204082,17.5675675675676
"San Marino",189,"SMR",674,"SAN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,5.29620820897068,6.84014696996673,4.26691570163998,,-2.57323126832675,73.394495412844,49.5412844036697,47.2727272727273
"Sao Tome & Principe",37,"STP",678,"STP","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Central Africa","Africa","Central Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,3.40125417686682,2.14822351832138,4.23660794923044,,2.08838443090906,57.2719060523939,19.3315266485998,47.0324748040314
"Saudi Arabia",63,"SAU",682,"SDA","Western Asia","Western Asia","Developing regions","","","","Middle East and North Africa","Middle East and North Africa","","Developing countries","","Middle East","Eastern Mediterranean","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,4.46734411049824,6.59847766490896,3.04658840755777,,-3.55188925735119,67.2686230248307,48.3069977426637,36.6812227074236
"Senegal",38,"SEN",686,"SEN","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Lower middle income","OIC Middle income","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","USAID","Africa","Western Africa","",1,4.3604063960008,0.399617283780006,7.00093247081467,,6.60131518703466,66.3817663817664,3.91737891737892,65.0111193476649
"Serbia",156,"SRB",688,"YUGC","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Southern Europe","",1,5.77712647508096,8.12692331209728,4.21059525040341,,-3.91632806169387,76.4084507042253,55.6338028169014,46.8253968253968
"Seychelles",19,"SYC",690,"SEY","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","High income: nonOECD","","High income","","Africa","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","Eastern Africa","Africa","Eastern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Eastern Africa","",1,0.773162352658115,1.43100843640673,0.334598296825703,,-1.09641013958103,17.5757575757576,13.3333333333333,4.8951048951049
"Sierra Leone",39,"SLE",694,"SRL","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Fragile","Fragile","Fragile","","Africa","Western Africa","",1,3.14506115494209,1.14100833506973,4.48109636819033,,3.3400880331206,54.4457056375331,10.783200908059,48.9397794741306
"Singapore",101,"SGP",702,"SIN","South-eastern Asia","South-eastern Asia","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","High income: nonOECD","","High income","","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,4.19187422339742,6.54925967739748,2.62028392073071,,-3.92897575666676,64.9350649350649,48.0519480519481,32.5
"Slovakia",166,"SVK",703,"SLK","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Eastern Europe","",1,3.54276116570175,4.13975797776073,3.14476329099577,,-0.994994686764965,58.7570621468927,33.8983050847458,37.6068376068376
"Vietnam",102,"VNM",704,"SVN","South-eastern Asia","South-eastern Asia","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Lower middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","South-Eastern Asia","",1,3.40233637615209,4.07435552095463,2.95432361295039,,-1.12003190800424,57.2834645669291,33.4645669291339,35.7988165680473
"Slovenia",190,"SVN",705,"SLV","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,5.54517744447956,6.37057713908902,4.99491098140659,,-1.37566615768242,75,47.1153846153846,52.7272727272727
